thr,trades,wr,pnl,dd,n_oos_pre_friend,G1,G2,G3,G4,all_pass,binding_gates,passing
0.4,477.0,0.43186582809224316,-2253.75,-3555.0,1465.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.45,482.0,0.43568464730290457,-2131.25,-3457.5,1470.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.5,485.0,0.4350515463917526,-2200.0,-3526.25,1473.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.55,488.0,0.4364754098360656,-2248.75,-3575.0,1476.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.6,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.65,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.7,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.75,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.8,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.85,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
